damage_type,coverage_type,vehicle_category,repair_cost_low_usd,repair_cost_high_usd,repair_cost_avg_usd,typical_labor_hours,parts_availability,notes
Control arm replacement,Collision,Compact SUV/Crossover,450,1350,900,5.4,Standard (3-5 days),
Control arm replacement,Collision,Mid-size SUV,500,1500,1000,2.3,Extended (1-2 weeks),
Control arm replacement,Collision,Full-size SUV/Truck,550,1650,1100,4.1,Ready (1-2 days),
Control arm replacement,Collision,Luxury Sedan,650,1950,1300,1.0,Ready (1-2 days),
Control arm replacement,Collision,Luxury SUV,700,2150,1400,4.8,Ready (1-2 days),
Strut replacement (pair),Collision,Economy/Compact,500,1500,1000,1.8,Ready (1-2 days),
Strut replacement (pair),Collision,Mid-size Sedan,600,1800,1200,3.2,Extended (1-2 weeks),
Strut replacement (pair),Collision,Full-size Sedan,650,1950,1300,1.0,Standard (3-5 days),
Strut replacement (pair),Collision,Compact SUV/Crossover,650,2050,1350,7.7,Ready (1-2 days),
Strut replacement (pair),Collision,Mid-size SUV,750,2250,1500,9.3,Standard (3-5 days),
Strut replacement (pair),Collision,Full-size SUV/Truck,800,2500,1650,10.0,Ready (1-2 days),
Strut replacement (pair),Collision,Luxury Sedan,950,2950,1950,5.5,Ready (1-2 days),
Strut replacement (pair),Collision,Luxury SUV,1050,3200,2100,14.0,Standard (3-5 days),
Wheel/rim replacement,Collision,Economy/Compact,150,650,400,1.6,Ready (1-2 days),
Wheel/rim replacement,Collision,Mid-size Sedan,200,800,500,1.6,Ready (1-2 days),
Wheel/rim replacement,Collision,Full-size Sedan,200,850,500,1.2,Extended (1-2 weeks),
Wheel/rim replacement,Collision,Compact SUV/Crossover,200,900,550,1.8,Extended (1-2 weeks),
Wheel/rim replacement,Collision,Mid-size SUV,250,1000,600,1.7,Ready (1-2 days),
Wheel/rim replacement,Collision,Full-size SUV/Truck,250,1100,650,2.7,Ready (1-2 days),
Wheel/rim replacement,Collision,Luxury Sedan,300,1300,800,2.6,Specialty (2-4 weeks),
Wheel/rim replacement,Collision,Luxury SUV,350,1400,850,5.1,Extended (1-2 weeks),
Tire replacement (single),Collision,Economy/Compact,100,400,250,1.6,Extended (1-2 weeks),
Tire replacement (single),Collision,Mid-size Sedan,150,500,300,1.9,Standard (3-5 days),
Tire replacement (single),Collision,Full-size Sedan,150,550,350,2.0,Ready (1-2 days),
Tire replacement (single),Collision,Compact SUV/Crossover,150,550,350,2.0,Ready (1-2 days),
Tire replacement (single),Collision,Mid-size SUV,150,600,350,2.0,Standard (3-5 days),
Tire replacement (single),Collision,Full-size SUV/Truck,200,700,450,1.6,Ready (1-2 days),
Tire replacement (single),Collision,Luxury Sedan,200,800,500,3.2,Ready (1-2 days),
Tire replacement (single),Collision,Luxury SUV,250,900,550,2.3,Ready (1-2 days),
Axle repair/replacement,Collision,Economy/Compact,650,2100,1350,3.4,Standard (3-5 days),
Axle repair/replacement,Collision,Mid-size Sedan,800,2500,1650,10.8,Ready (1-2 days),
Axle repair/replacement,Collision,Full-size Sedan,850,2750,1800,8.2,Ready (1-2 days),
Axle repair/replacement,Collision,Compact SUV/Crossover,900,2850,1850,7.3,Ready (1-2 days),
Axle repair/replacement,Collision,Mid-size SUV,1000,3100,2050,3.1,Ready (1-2 days),
Axle repair/replacement,Collision,Full-size SUV/Truck,1100,3500,2300,4.0,Extended (1-2 weeks),
Axle repair/replacement,Collision,Luxury Sedan,1300,4100,2700,9.5,Ready (1-2 days),
Axle repair/replacement,Collision,Luxury SUV,1400,4500,2950,17.9,Specialty (2-4 weeks),
Transmission damage (collision),Collision,Economy/Compact,1700,5100,3400,10.7,Ready (1-2 days),
Transmission damage (collision),Collision,Mid-size Sedan,2000,6000,4000,5.9,Ready (1-2 days),
Transmission damage (collision),Collision,Full-size Sedan,2200,6600,4400,10.7,Ready (1-2 days),
Transmission damage (collision),Collision,Compact SUV/Crossover,2300,6850,4550,8.0,Ready (1-2 days),
Transmission damage (collision),Collision,Mid-size SUV,2500,7500,5000,19.4,Extended (1-2 weeks),
Transmission damage (collision),Collision,Full-size SUV/Truck,2800,8400,5600,28.2,Ready (1-2 days),
Transmission damage (collision),Collision,Luxury Sedan,3300,9900,6600,18.8,Standard (3-5 days),
Transmission damage (collision),Collision,Luxury SUV,3600,10800,7200,18.7,Ready (1-2 days),
Engine damage (collision),Collision,Economy/Compact,2550,10200,6350,3.6,Ready (1-2 days),
Engine damage (collision),Collision,Mid-size Sedan,3000,12000,7500,48.4,Ready (1-2 days),
Engine damage (collision),Collision,Full-size Sedan,3300,13200,8250,28.2,Standard (3-5 days),
Engine damage (collision),Collision,Compact SUV/Crossover,3400,13750,8550,49.3,Ready (1-2 days),
Engine damage (collision),Collision,Mid-size SUV,3750,15000,9350,17.6,Ready (1-2 days),
Engine damage (collision),Collision,Full-size SUV/Truck,4200,16800,10500,28.6,Ready (1-2 days),
Engine damage (collision),Collision,Luxury Sedan,4950,19800,12350,78.6,Extended (1-2 weeks),
Engine damage (collision),Collision,Luxury SUV,5400,21600,13500,78.7,Ready (1-2 days),
Flood damage – interior,Comprehensive,Economy/Compact,1700,12750,7200,2.5,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Mid-size Sedan,2000,15000,8500,50.9,Ready (1-2 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Full-size Sedan,2200,16500,9350,37.0,Ready (1-2 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Compact SUV/Crossover,2300,17250,9750,26.1,Extended (1-2 weeks),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Mid-size SUV,2500,18750,10600,58.5,Extended (1-2 weeks),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Full-size SUV/Truck,2800,21000,11900,77.2,Ready (1-2 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Luxury Sedan,3300,24750,14000,11.1,Ready (1-2 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – interior,Comprehensive,Luxury SUV,3600,27000,15300,53.8,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Economy/Compact,1250,6800,4000,25.2,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Mid-size Sedan,1500,8000,4750,20.9,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Full-size Sedan,1650,8800,5200,16.4,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Compact SUV/Crossover,1700,9200,5450,2.4,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Mid-size SUV,1850,10000,5900,9.9,Extended (1-2 weeks),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Full-size SUV/Truck,2100,11200,6650,29.0,Ready (1-2 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Luxury Sedan,2450,13200,7800,7.5,Ready (1-2 days),Total loss likely if electrical systems affected; inspect before repair estimate
Flood damage – electrical,Comprehensive,Luxury SUV,2700,14400,8550,36.6,Standard (3-5 days),Total loss likely if electrical systems affected; inspect before repair estimate
Fire damage (partial),Comprehensive,Economy/Compact,2550,8500,5500,5.0,Ready (1-2 days),
Fire damage (partial),Comprehensive,Mid-size Sedan,3000,10000,6500,23.2,Standard (3-5 days),
Fire damage (partial),Comprehensive,Full-size Sedan,3300,11000,7150,19.1,Ready (1-2 days),
Fire damage (partial),Comprehensive,Compact SUV/Crossover,3400,11500,7450,30.3,Ready (1-2 days),
Fire damage (partial),Comprehensive,Mid-size SUV,3750,12500,8100,17.0,Ready (1-2 days),
Fire damage (partial),Comprehensive,Full-size SUV/Truck,4200,14000,9100,58.2,Standard (3-5 days),
Fire damage (partial),Comprehensive,Luxury Sedan,4950,16500,10700,63.2,Ready (1-2 days),
Fire damage (partial),Comprehensive,Luxury SUV,5400,18000,11700,19.1,Ready (1-2 days),
Fire damage (total loss candidate),Comprehensive,Economy/Compact,6800,25500,16150,103.5,Standard (3-5 days),
Fire damage (total loss candidate),Comprehensive,Mid-size Sedan,8000,30000,19000,39.6,Ready (1-2 days),
Fire damage (total loss candidate),Comprehensive,Full-size Sedan,8800,33000,20900,69.9,Standard (3-5 days),
Fire damage (total loss candidate),Comprehensive,Compact SUV/Crossover,9200,34500,21850,61.8,Ready (1-2 days),
Fire damage (total loss candidate),Comprehensive,Mid-size SUV,10000,37500,23750,106.0,Extended (1-2 weeks),
Fire damage (total loss candidate),Comprehensive,Full-size SUV/Truck,11200,42000,26600,41.0,Ready (1-2 days),
Fire damage (total loss candidate),Comprehensive,Luxury Sedan,13200,49500,31350,71.3,Ready (1-2 days),
Fire damage (total loss candidate),Comprehensive,Luxury SUV,14400,54000,34200,155.9,Ready (1-2 days),
Vandalism – keying,Comprehensive,Economy/Compact,400,2100,1250,6.8,Standard (3-5 days),
Vandalism – keying,Comprehensive,Mid-size Sedan,500,2500,1500,5.5,Ready (1-2 days),
Vandalism – keying,Comprehensive,Full-size Sedan,550,2750,1650,10.7,Ready (1-2 days),
Vandalism – keying,Comprehensive,Compact SUV/Crossover,550,2850,1700,9.5,Ready (1-2 days),
Vandalism – keying,Comprehensive,Mid-size SUV,600,3100,1850,3.5,Standard (3-5 days),
Vandalism – keying,Comprehensive,Full-size SUV/Truck,700,3500,2100,4.8,Specialty (2-4 weeks),
Vandalism – keying,Comprehensive,Luxury Sedan,800,4100,2450,8.6,Ready (1-2 days),
Vandalism – keying,Comprehensive,Luxury SUV,900,4500,2700,4.8,Ready (1-2 days),
Vandalism – slashed tires (4x),Comprehensive,Economy/Compact,500,1350,900,4.3,Extended (1-2 weeks),
Vandalism – slashed tires (4x),Comprehensive,Mid-size Sedan,600,1600,1100,1.9,Ready (1-2 days),
Vandalism – slashed tires (4x),Comprehensive,Full-size Sedan,650,1750,1200,2.5,Specialty (2-4 weeks),
Vandalism – slashed tires (4x),Comprehensive,Compact SUV/Crossover,650,1800,1200,2.0,Ready (1-2 days),
Vandalism – slashed tires (4x),Comprehensive,Mid-size SUV,750,2000,1350,1.5,Ready (1-2 days),
Vandalism – slashed tires (4x),Comprehensive,Full-size SUV/Truck,800,2200,1500,9.1,Extended (1-2 weeks),
Vandalism – slashed tires (4x),Comprehensive,Luxury Sedan,950,2600,1750,8.8,Specialty (2-4 weeks),
Vandalism – slashed tires (4x),Comprehensive,Luxury SUV,1050,2850,1950,12.2,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Economy/Compact,250,750,500,1.4,Extended (1-2 weeks),
Vandalism – broken windows,Comprehensive,Mid-size Sedan,300,900,600,3.2,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Full-size Sedan,300,950,600,3.0,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Compact SUV/Crossover,300,1000,650,2.2,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Mid-size SUV,350,1100,700,1.6,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Full-size SUV/Truck,400,1250,800,2.2,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Luxury Sedan,450,1450,950,6.1,Ready (1-2 days),
Vandalism – broken windows,Comprehensive,Luxury SUV,500,1600,1050,6.8,Ready (1-2 days),
Animal strike – deer (front),Comprehensive,Economy/Compact,1250,4250,2750,7.2,Extended (1-2 weeks),
Animal strike – deer (front),Comprehensive,Mid-size Sedan,1500,5000,3250,18.0,Ready (1-2 days),
Animal strike – deer (front),Comprehensive,Full-size Sedan,1650,5500,3550,2.1,Ready (1-2 days),
Animal strike – deer (front),Comprehensive,Compact SUV/Crossover,1700,5750,3700,9.8,Extended (1-2 weeks),
Animal strike – deer (front),Comprehensive,Mid-size SUV,1850,6250,4050,6.0,Ready (1-2 days),
Animal strike – deer (front),Comprehensive,Full-size SUV/Truck,2100,7000,4550,27.3,Ready (1-2 days),
Animal strike – deer (front),Comprehensive,Luxury Sedan,2450,8250,5350,15.2,Extended (1-2 weeks),
Animal strike – deer (front),Comprehensive,Luxury SUV,2700,9000,5850,30.1,Ready (1-2 days),
Animal strike – deer (moderate),Comprehensive,Economy/Compact,650,2100,1350,1.3,Ready (1-2 days),
Animal strike – deer (moderate),Comprehensive,Mid-size Sedan,800,2500,1650,10.2,Ready (1-2 days),
Animal strike – deer (moderate),Comprehensive,Full-size Sedan,850,2750,1800,9.2,Extended (1-2 weeks),
Animal strike – deer (moderate),Comprehensive,Compact SUV/Crossover,900,2850,1850,4.8,Ready (1-2 days),
Animal strike – deer (moderate),Comprehensive,Mid-size SUV,1000,3100,2050,13.1,Standard (3-5 days),
Animal strike – deer (moderate),Comprehensive,Full-size SUV/Truck,1100,3500,2300,4.8,Standard (3-5 days),
Animal strike – deer (moderate),Comprehensive,Luxury Sedan,1300,4100,2700,6.4,Ready (1-2 days),
Animal strike – deer (moderate),Comprehensive,Luxury SUV,1400,4500,2950,1.1,Standard (3-5 days),
Falling tree branch (roof/hood),Comprehensive,Economy/Compact,850,3400,2100,12.9,Standard (3-5 days),
Falling tree branch (roof/hood),Comprehensive,Mid-size Sedan,1000,4000,2500,15.8,Ready (1-2 days),
Falling tree branch (roof/hood),Comprehensive,Full-size Sedan,1100,4400,2750,5.1,Ready (1-2 days),
Falling tree branch (roof/hood),Comprehensive,Compact SUV/Crossover,1150,4600,2850,18.2,Specialty (2-4 weeks),
Falling tree branch (roof/hood),Comprehensive,Mid-size SUV,1250,5000,3100,8.6,Ready (1-2 days),
Falling tree branch (roof/hood),Comprehensive,Full-size SUV/Truck,1400,5600,3500,10.6,Ready (1-2 days),
Falling tree branch (roof/hood),Comprehensive,Luxury Sedan,1650,6600,4100,25.4,Ready (1-2 days),
Falling tree branch (roof/hood),Comprehensive,Luxury SUV,1800,7200,4500,24.3,Standard (3-5 days),
Theft – partial (catalytic converter),Comprehensive,Economy/Compact,1000,2550,1750,9.8,Standard (3-5 days),
Theft – partial (catalytic converter),Comprehensive,Mid-size Sedan,1200,3000,2100,8.9,Ready (1-2 days),
Theft – partial (catalytic converter),Comprehensive,Full-size Sedan,1300,3300,2300,5.6,Ready (1-2 days),
Theft – partial (catalytic converter),Comprehensive,Compact SUV/Crossover,1350,3400,2350,12.5,Ready (1-2 days),
Theft – partial (catalytic converter),Comprehensive,Mid-size SUV,1500,3750,2600,4.2,Standard (3-5 days),
Theft – partial (catalytic converter),Comprehensive,Full-size SUV/Truck,1650,4200,2900,5.5,Ready (1-2 days),
Theft – partial (catalytic converter),Comprehensive,Luxury Sedan,1950,4950,3450,1.7,Standard (3-5 days),
Theft – partial (catalytic converter),Comprehensive,Luxury SUV,2150,5400,3750,8.8,Specialty (2-4 weeks),
Interior theft damage,Comprehensive,Economy/Compact,400,1700,1050,6.3,Specialty (2-4 weeks),
Interior theft damage,Comprehensive,Mid-size Sedan,500,2000,1250,2.9,Ready (1-2 days),
Interior theft damage,Comprehensive,Full-size Sedan,550,2200,1350,1.8,Ready (1-2 days),
Interior theft damage,Comprehensive,Compact SUV/Crossover,550,2300,1400,6.9,Ready (1-2 days),
Interior theft damage,Comprehensive,Mid-size SUV,600,2500,1550,3.2,Ready (1-2 days),
Interior theft damage,Comprehensive,Full-size SUV/Truck,700,2800,1750,7.6,Standard (3-5 days),
Interior theft damage,Comprehensive,Luxury Sedan,800,3300,2050,10.5,Extended (1-2 weeks),
Interior theft damage,Comprehensive,Luxury SUV,900,3600,2250,10.3,Ready (1-2 days),
Towing + storage (per incident),N/A,Economy/Compact,100,400,250,1.8,Ready (1-2 days),
Towing + storage (per incident),N/A,Mid-size Sedan,150,500,300,1.6,Ready (1-2 days),
Towing + storage (per incident),N/A,Full-size Sedan,150,550,350,2.0,Ready (1-2 days),
Towing + storage (per incident),N/A,Compact SUV/Crossover,150,550,350,1.3,Ready (1-2 days),
Towing + storage (per incident),N/A,Mid-size SUV,150,600,350,1.2,Extended (1-2 weeks),
Towing + storage (per incident),N/A,Full-size SUV/Truck,200,700,450,2.2,Ready (1-2 days),
Towing + storage (per incident),N/A,Luxury Sedan,200,800,500,1.9,Specialty (2-4 weeks),
Towing + storage (per incident),N/A,Luxury SUV,250,900,550,2.4,Ready (1-2 days),
